Team,Year,Division,Conference
Abilene Christian,2013,IAA,Indep
Abilene Christian,2014,IAA,Southland
Abilene Christian,2015,IAA,Southland
Abilene Christian,2016,IAA,Southland
Abilene Christian,2017,IAA,Southland
Abilene Christian,2018,IAA,Southland
Abilene Christian,2019,IAA,Southland
Air Force,1998,IA,MWC
Air Force,1999,IA,MWC
Air Force,2000,IA,MWC
Air Force,2001,IA,MWC
Air Force,2002,IA,MWC
Air Force,2003,IA,MWC
Air Force,2004,IA,MWC
Air Force,2005,IA,MWC
Air Force,2006,IA,MWC
Air Force,2007,IA,MWC
Air Force,2008,IA,MWC
Air Force,2009,IA,MWC
Air Force,2010,IA,MWC
Air Force,2011,IA,MWC
Air Force,2012,IA,MWC
Air Force,2013,IA,MWC
Air Force,2014,IA,MWC
Air Force,2015,IA,MWC
Air Force,2016,IA,MWC
Air Force,2017,IA,MWC
Air Force,2018,IA,MWC
Air Force,2019,IA,MWC
Akron,1998,IA,MAC
Akron,1999,IA,MAC
Akron,2000,IA,MAC
Akron,2001,IA,MAC
Akron,2002,IA,MAC
Akron,2003,IA,MAC
Akron,2004,IA,MAC
Akron,2005,IA,MAC
Akron,2006,IA,MAC
Akron,2007,IA,MAC
Akron,2008,IA,MAC
Akron,2009,IA,MAC
Akron,2010,IA,MAC
Akron,2011,IA,MAC
Akron,2012,IA,MAC
Akron,2013,IA,MAC
Akron,2014,IA,MAC
Akron,2015,IA,MAC
Akron,2016,IA,MAC
Akron,2017,IA,MAC
Akron,2018,IA,MAC
Akron,2019,IA,MAC
Alabama,1998,IA,SEC
Alabama,1999,IA,SEC
Alabama,2000,IA,SEC
Alabama,2001,IA,SEC
Alabama,2002,IA,SEC
Alabama,2003,IA,SEC
Alabama,2004,IA,SEC
Alabama,2005,IA,SEC
Alabama,2006,IA,SEC
Alabama,2007,IA,SEC
Alabama,2008,IA,SEC
Alabama,2009,IA,SEC
Alabama,2010,IA,SEC
Alabama,2011,IA,SEC
Alabama,2012,IA,SEC
Alabama,2013,IA,SEC
Alabama,2014,IA,SEC
Alabama,2015,IA,SEC
Alabama,2016,IA,SEC
Alabama,2017,IA,SEC
Alabama,2018,IA,SEC
Alabama,2019,IA,SEC
Alabama - Birmingham,1998,IA,CUSA
Alabama - Birmingham,1999,IA,CUSA
Alabama - Birmingham,2000,IA,CUSA
Alabama - Birmingham,2001,IA,CUSA
Alabama - Birmingham,2002,IA,CUSA
Alabama - Birmingham,2003,IA,CUSA
Alabama - Birmingham,2004,IA,CUSA
Alabama - Birmingham,2005,IA,CUSA
Alabama - Birmingham,2006,IA,CUSA
Alabama - Birmingham,2007,IA,CUSA
Alabama - Birmingham,2008,IA,CUSA
Alabama - Birmingham,2009,IA,CUSA
Alabama - Birmingham,2010,IA,CUSA
Alabama - Birmingham,2011,IA,CUSA
Alabama - Birmingham,2012,IA,CUSA
Alabama - Birmingham,2013,IA,CUSA
Alabama - Birmingham,2014,IA,CUSA
Alabama - Birmingham,2017,IA,CUSA
Alabama - Birmingham,2018,IA,CUSA
Alabama - Birmingham,2019,IA,CUSA
Alabama A&M,1998,IAA,Indep
Alabama A&M,1999,IAA,Indep
Alabama A&M,2000,IAA,SWAC
Alabama A&M,2001,IAA,SWAC
Alabama A&M,2002,IAA,SWAC
Alabama A&M,2003,IAA,SWAC
Alabama A&M,2004,IAA,SWAC
Alabama A&M,2005,IAA,SWAC
Alabama A&M,2006,IAA,SWAC
Alabama A&M,2007,IAA,SWAC
Alabama A&M,2008,IAA,SWAC
Alabama A&M,2009,IAA,SWAC
Alabama A&M,2010,IAA,SWAC
Alabama A&M,2011,IAA,SWAC
Alabama A&M,2012,IAA,SWAC
Alabama A&M,2013,IAA,SWAC
Alabama A&M,2014,IAA,SWAC
Alabama A&M,2015,IAA,SWAC
Alabama A&M,2016,IAA,SWAC
Alabama A&M,2017,IAA,SWAC
Alabama A&M,2018,IAA,SWAC
Alabama A&M,2019,IAA,SWAC
Alabama State,1998,IAA,SWAC
Alabama State,1999,IAA,SWAC
Alabama State,2000,IAA,SWAC
Alabama State,2001,IAA,SWAC
Alabama State,2002,IAA,SWAC
Alabama State,2003,IAA,SWAC
Alabama State,2004,IAA,SWAC
Alabama State,2005,IAA,SWAC
Alabama State,2006,IAA,SWAC
Alabama State,2007,IAA,SWAC
Alabama State,2008,IAA,SWAC
Alabama State,2009,IAA,SWAC
Alabama State,2010,IAA,SWAC
Alabama State,2011,IAA,SWAC
Alabama State,2012,IAA,SWAC
Alabama State,2013,IAA,SWAC
Alabama State,2014,IAA,SWAC
Alabama State,2015,IAA,SWAC
Alabama State,2016,IAA,SWAC
Alabama State,2017,IAA,SWAC
Alabama State,2018,IAA,SWAC
Alabama State,2019,IAA,SWAC
Albany,1999,IAA,NE
Albany,2000,IAA,NE
Albany,2001,IAA,NE
Albany,2002,IAA,NE
Albany,2003,IAA,NE
Albany,2004,IAA,NE
Albany,2005,IAA,NE
Albany,2006,IAA,NE
Albany,2007,IAA,NE
Albany,2008,IAA,NE
Albany,2009,IAA,NE
Albany,2010,IAA,NE
Albany,2011,IAA,NE
Albany,2012,IAA,NE
Albany,2013,IAA,Colonial
Albany,2014,IAA,Colonial
Albany,2015,IAA,Colonial
Albany,2016,IAA,Colonial
Albany,2017,IAA,Colonial
Albany,2018,IAA,Colonial
Albany,2019,IAA,Colonial
Alcorn State,1998,IAA,SWAC
