Season,RoundNumber,RoundName,Date,HomeFlag,Score1,Team1,Score2,Team2
2020,0,weekb0,2020-08-29,team1Home,24,Central Arkansas,17,Austin Peay
2020,0,weekb0,2020-09-03,team1Home,45,Alabama - Birmingham,35,Central Arkansas
2020,0,weekb0,2020-09-03,team1Home,21,Southern Mississippi,32,South Alabama
2020,0,weekb0,2020-09-05,team1Home,42,Army,0,Middle Tennessee State
2020,0,weekb0,2020-09-05,team1Home,59,Marshall,0,Eastern Kentucky
2020,0,weekb0,2020-09-05,team1Home,37,Memphis,24,Arkansas State
2020,0,weekb0,2020-09-05,team1Home,57,North Texas,31,Houston Christian
2020,0,weekb0,2020-09-05,team1Home,24,Texas - El Paso,14,Stephen F. Austin
2020,0,weekb0,2020-09-05,team1Home,24,Texas State - San Marcos,31,Southern Methodist
2020,0,weekb0,2020-09-07,team1Home,3,Navy,55,Brigham Young
2020,1,week02,2020-09-10,team1Home,31,Miami - Florida,14,Alabama - Birmingham
2020,1,week02,2020-09-12,team1Home,35,Appalachian State,20,North Carolina - Charlotte
2020,1,week02,2020-09-12,team1Home,37,Army,7,Northeast Louisiana
2020,1,week02,2020-09-12,team1Home,13,Florida State,16,Georgia Tech
2020,1,week02,2020-09-12,team1Home,27,Georgia Southern,26,Campbell
2020,1,week02,2020-09-12,team1Home,14,Iowa State,31,Louisiana - Lafayette
2020,1,week02,2020-09-12,team1Home,23,Kansas,38,Coastal Carolina
2020,1,week02,2020-09-12,team1Home,31,Kansas State,35,Arkansas State
2020,1,week02,2020-09-12,team1Home,35,Louisville,21,Western Kentucky
2020,1,week02,2020-09-12,team1Home,31,North Carolina,6,Syracuse
2020,1,week02,2020-09-12,team1Home,27,Notre Dame,13,Duke
2020,1,week02,2020-09-12,team1Home,48,Oklahoma,0,Missouri State
2020,1,week02,2020-09-12,team1Home,55,Pittsburgh,0,Austin Peay
2020,1,week02,2020-09-12,team1Home,24,South Alabama,27,Tulane
2020,1,week02,2020-09-12,team1Home,27,South Florida,6,The Citadel
2020,1,week02,2020-09-12,team1Home,59,Texas,3,Texas - El Paso
2020,1,week02,2020-09-12,team1Home,48,Texas State - San Marcos,51,Texas - San Antonio
2020,1,week02,2020-09-12,team1Home,35,Texas Tech,33,Houston Christian
2020,1,week02,2020-09-12,team1Home,13,Wake Forest,37,Clemson
2020,1,week02,2020-09-12,team1Home,56,West Virginia,10,Eastern Kentucky
2020,2,week03,2020-09-18,team1Home,43,Coastal Carolina,21,Campbell
