Team,Year,Division,Conference
Arizona,2001,NFC,East
Atlanta,2001,NFC,West
Baltimore,2001,AFC,Central
Buffalo,2001,AFC,East
Carolina,2001,NFC,West
Chicago,2001,NFC,Central
Cleveland,2001,AFC,Central
Cincinnati,2001,AFC,Central
Dallas,2001,NFC,East
Denver,2001,AFC,West
Detroit,2001,NFC,Central
Green Bay,2001,NFC,Central
Indianapolis,2001,AFC,East
Jacksonville,2001,AFC,Central
Kansas City,2001,AFC,West
Miami,2001,AFC,East
Minnesota,2001,NFC,Central
New England,2001,AFC,East
New Orleans,2001,NFC,West
New York Giants,2001,NFC,East
New York Jets,2001,AFC,East
Oakland,2001,AFC,West
Philadelphia,2001,NFC,East
Pittsburgh,2001,AFC,Central
Los Angeles Chargers,2001,AFC,West
San Francisco,2001,NFC,West
Seattle,2001,AFC,West
Los Angeles Rams,2001,NFC,West
Tampa Bay,2001,NFC,Central
Tennessee,2001,AFC,Central
Washington,2001,NFC,East
Arizona,2002,NFC,West
Atlanta,2002,NFC,South
Baltimore,2002,AFC,North
Buffalo,2002,AFC,East
Carolina,2002,NFC,South
Chicago,2002,NFC,North
Cleveland,2002,AFC,North
Cincinnati,2002,AFC,North
Dallas,2002,NFC,East
Denver,2002,AFC,West
Detroit,2002,NFC,North
Green Bay,2002,NFC,North
Houston,2002,AFC,South
Indianapolis,2002,AFC,South
Jacksonville,2002,AFC,South
Kansas City,2002,AFC,West
Miami,2002,AFC,East
Minnesota,2002,NFC,North
New England,2002,AFC,East
New Orleans,2002,NFC,South
New York Giants,2002,NFC,East
New York Jets,2002,AFC,East
Oakland,2002,AFC,West
Philadelphia,2002,NFC,East
Pittsburgh,2002,AFC,North
Los Angeles Chargers,2002,AFC,West
San Francisco,2002,NFC,West
Seattle,2002,NFC,West
Los Angeles Rams,2002,NFC,West
Tampa Bay,2002,NFC,South
Tennessee,2002,AFC,South
Washington,2002,NFC,East
Arizona,2003,NFC,West
Atlanta,2003,NFC,South
Baltimore,2003,AFC,North
Buffalo,2003,AFC,East
Carolina,2003,NFC,South
Chicago,2003,NFC,North
Cleveland,2003,AFC,North
Cincinnati,2003,AFC,North
Dallas,2003,NFC,East
Denver,2003,AFC,West
Detroit,2003,NFC,North
Green Bay,2003,NFC,North
Houston,2003,AFC,South
Indianapolis,2003,AFC,South
Jacksonville,2003,AFC,South
Kansas City,2003,AFC,West
Miami,2003,AFC,East
Minnesota,2003,NFC,North
New England,2003,AFC,East
New Orleans,2003,NFC,South
New York Giants,2003,NFC,East
New York Jets,2003,AFC,East
Oakland,2003,AFC,West
Philadelphia,2003,NFC,East
Pittsburgh,2003,AFC,North
Los Angeles Chargers,2003,AFC,West
San Francisco,2003,NFC,West
Seattle,2003,NFC,West
Los Angeles Rams,2003,NFC,West
Tampa Bay,2003,NFC,South
Tennessee,2003,AFC,South
Washington,2003,NFC,East
Arizona,2004,NFC,West
Atlanta,2004,NFC,South
Baltimore,2004,AFC,North
Buffalo,2004,AFC,East
Carolina,2004,NFC,South
Chicago,2004,NFC,North
Cleveland,2004,AFC,North
Cincinnati,2004,AFC,North
Dallas,2004,NFC,East
Denver,2004,AFC,West
Detroit,2004,NFC,North
Green Bay,2004,NFC,North
Houston,2004,AFC,South
Indianapolis,2004,AFC,South
Jacksonville,2004,AFC,South
Kansas City,2004,AFC,West
Miami,2004,AFC,East
Minnesota,2004,NFC,North
New England,2004,AFC,East
New Orleans,2004,NFC,South
New York Giants,2004,NFC,East
New York Jets,2004,AFC,East
Oakland,2004,AFC,West
Philadelphia,2004,NFC,East
Pittsburgh,2004,AFC,North
Los Angeles Chargers,2004,AFC,West
San Francisco,2004,NFC,West
Seattle,2004,NFC,West
Los Angeles Rams,2004,NFC,West
Tampa Bay,2004,NFC,South
Tennessee,2004,AFC,South
Washington,2004,NFC,East
Arizona,2005,NFC,West
Atlanta,2005,NFC,South
Baltimore,2005,AFC,North
Buffalo,2005,AFC,East
Carolina,2005,NFC,South
Chicago,2005,NFC,North
Cleveland,2005,AFC,North
Cincinnati,2005,AFC,North
Dallas,2005,NFC,East
Denver,2005,AFC,West
Detroit,2005,NFC,North
Green Bay,2005,NFC,North
Houston,2005,AFC,South
Indianapolis,2005,AFC,South
Jacksonville,2005,AFC,South
Kansas City,2005,AFC,West
Miami,2005,AFC,East
Minnesota,2005,NFC,North
New England,2005,AFC,East
New Orleans,2005,NFC,South
New York Giants,2005,NFC,East
New York Jets,2005,AFC,East
Oakland,2005,AFC,West
Philadelphia,2005,NFC,East
Pittsburgh,2005,AFC,North
Los Angeles Chargers,2005,AFC,West
San Francisco,2005,NFC,West
Seattle,2005,NFC,West
Los Angeles Rams,2005,NFC,West
Tampa Bay,2005,NFC,South
Tennessee,2005,AFC,South
Washington,2005,NFC,East
Arizona,2006,NFC,West
Atlanta,2006,NFC,South
Baltimore,2006,AFC,North
Buffalo,2006,AFC,East
Carolina,2006,NFC,South
Chicago,2006,NFC,North
Cleveland,2006,AFC,North
Cincinnati,2006,AFC,North
Dallas,2006,NFC,East
Denver,2006,AFC,West
Detroit,2006,NFC,North
Green Bay,2006,NFC,North
Houston,2006,AFC,South
Indianapolis,2006,AFC,South
Jacksonville,2006,AFC,South
Kansas City,2006,AFC,West
Miami,2006,AFC,East
Minnesota,2006,NFC,North
New England,2006,AFC,East
New Orleans,2006,NFC,South
New York Giants,2006,NFC,East
New York Jets,2006,AFC,East
Oakland,2006,AFC,West
Philadelphia,2006,NFC,East
Pittsburgh,2006,AFC,North
Los Angeles Chargers,2006,AFC,West
San Francisco,2006,NFC,West
