Season,RoundNumber,RoundName,Date,HomeFlag,Score1,Team1,Score2,Team2
2001,0,weekb1,2001-09-09,team1Home,16,San Francisco,13,Atlanta
2001,0,weekb1,2001-09-09,team1Home,13,Minnesota,24,Carolina
2001,0,weekb1,2001-09-09,team1Home,17,Baltimore,6,Chicago
2001,0,weekb1,2001-09-09,team1Home,28,Green Bay,6,Detroit
2001,0,weekb1,2001-09-09,team1Home,24,New York Jets,45,Indianapolis
2001,0,weekb1,2001-09-09,team1Home,23,Cincinnati,17,New England
2001,0,weekb1,2001-09-09,team1Home,6,Buffalo,24,New Orleans
2001,0,weekb1,2001-09-09,team1Home,24,Kansas City,27,Oakland
2001,0,weekb1,2001-09-09,team1Home,21,Jacksonville,3,Pittsburgh
2001,0,weekb1,2001-09-09,team1Home,17,Philadelphia,20,Los Angeles Rams
2001,0,weekb1,2001-09-09,team1Home,6,Cleveland,9,Seattle
2001,0,weekb1,2001-09-09,team1Home,6,Dallas,10,Tampa Bay
2001,0,weekb1,2001-09-09,team1Home,30,Los Angeles Chargers,3,Washington
2001,0,weekb1,2001-09-09,team1Home,23,Tennessee,31,Miami
2001,0,weekb1,2001-09-10,team1Home,31,Denver,20,New York Giants
2001,1,week02,2001-09-23,team1Home,21,Cincinnati,10,Baltimore
2001,1,week02,2001-09-23,team1Home,42,Indianapolis,26,Buffalo
2001,1,week02,2001-09-23,team1Home,24,Atlanta,16,Carolina
2001,1,week02,2001-09-23,team1Home,24,Cleveland,14,Detroit
2001,1,week02,2001-09-23,team1Home,17,Chicago,10,Minnesota
2001,1,week02,2001-09-23,team1Home,3,Kansas City,13,New York Giants
2001,1,week02,2001-09-23,team1Home,3,New England,10,New York Jets
2001,1,week02,2001-09-23,team1Home,18,Miami,15,Oakland
2001,1,week02,2001-09-23,team1Home,3,Seattle,27,Philadelphia
2001,1,week02,2001-09-23,team1Home,26,San Francisco,30,Los Angeles Rams
2001,1,week02,2001-09-23,team1Home,21,Dallas,32,Los Angeles Chargers
2001,1,week02,2001-09-23,team1Home,13,Jacksonville,6,Tennessee
2001,1,week02,2001-09-23,team1Home,17,Arizona,38,Denver
2001,1,week02,2001-09-24,team1Home,37,Green Bay,0,Washington
2001,2,week03,2001-09-30,team1Home,14,Arizona,34,Atlanta
2001,2,week03,2001-09-30,team1Home,13,Denver,20,Baltimore
2001,2,week03,2001-09-30,team1Home,28,Los Angeles Chargers,14,Cincinnati
2001,2,week03,2001-09-30,team1Home,14,Jacksonville,23,Cleveland
2001,2,week03,2001-09-30,team1Home,7,Carolina,28,Green Bay
2001,2,week03,2001-09-30,team1Home,44,New England,13,Indianapolis
2001,2,week03,2001-09-30,team1Home,13,Washington,45,Kansas City
2001,2,week03,2001-09-30,team1Home,42,Los Angeles Rams,10,Miami
2001,2,week03,2001-09-30,team1Home,21,New York Giants,13,New Orleans
2001,2,week03,2001-09-30,team1Home,3,Buffalo,20,Pittsburgh
2001,2,week03,2001-09-30,team1Home,38,Oakland,14,Seattle
2001,2,week03,2001-09-30,team1Home,20,Minnesota,16,Tampa Bay
2001,2,week03,2001-09-30,team1Home,40,Philadelphia,18,Dallas
2001,2,week03,2001-10-01,team1Home,17,New York Jets,19,San Francisco
2001,3,week04,2001-10-07,team1Home,20,Philadelphia,21,Arizona
2001,3,week04,2001-10-07,team1Home,3,Atlanta,31,Chicago
2001,3,week04,2001-10-07,team1Home,16,Pittsburgh,7,Cincinnati
2001,3,week04,2001-10-07,team1Home,14,Tampa Bay,10,Green Bay
2001,3,week04,2001-10-07,team1Home,24,Seattle,15,Jacksonville
2001,3,week04,2001-10-07,team1Home,20,Denver,6,Kansas City
2001,3,week04,2001-10-07,team1Home,28,New Orleans,15,Minnesota
2001,3,week04,2001-10-07,team1Home,28,Oakland,21,Dallas
2001,3,week04,2001-10-07,team1Home,30,Miami,10,New England
2001,3,week04,2001-10-07,team1Home,36,Buffalo,42,New York Jets
2001,3,week04,2001-10-07,team1Home,20,Cleveland,16,Los Angeles Chargers
2001,3,week04,2001-10-07,team1Home,26,Baltimore,7,Tennessee
2001,3,week04,2001-10-07,team1Home,23,New York Giants,9,Washington
2001,3,week04,2001-10-07,team1Home,24,San Francisco,14,Carolina
2001,3,week04,2001-10-08,team1Home,0,Detroit,35,Los Angeles Rams
2001,4,week05,2001-10-14,team1Home,20,Chicago,13,Arizona
2001,4,week05,2001-10-14,team1Home,31,Green Bay,23,Baltimore
2001,4,week05,2001-10-14,team1Home,24,Cincinnati,14,Cleveland
2001,4,week05,2001-10-14,team1Home,34,Seattle,21,Denver
2001,4,week05,2001-10-14,team1Home,31,Minnesota,26,Detroit
