Season,RoundNumber,RoundName,Date,HomeFlag,Score1,Team1,Score2,Team2
2025,0,weekb0,2025-08-23,team1Home,-1,Hawaii,-1,Stanford
2025,0,weekb0,2025-08-23,neutral,-1,Kansas State,-1,Iowa State
2025,0,weekb0,2025-08-23,team1Home,-1,Kansas,-1,Fresno State
2025,0,weekb0,2025-08-23,team1Home,-1,Western Kentucky,-1,Sam Houston State
2025,0,weekb0,2025-08-23,team1Home,-1,Nicholls State,-1,Incarnate Word
2025,0,weekb0,2025-08-23,neutral,-1,Southern,-1,North Carolina Central
2025,0,weekb0,2025-08-23,team1Home,-1,Portland State,-1,Tarleton State
2025,0,weekb0,2025-08-23,team1Home,-1,Nevada - Las Vegas,-1,Idaho State
2025,1,weekb1,2025-08-28,neutral,-1,Cincinnati,-1,Nebraska
2025,1,weekb1,2025-08-28,team1Home,-1,Houston,-1,Stephen F. Austin
2025,1,weekb1,2025-08-28,team1Home,-1,Northeast Louisiana,-1,Saint Francis - Pennsylvania
2025,1,weekb1,2025-08-28,team1Home,-1,Minnesota,-1,Buffalo
2025,1,weekb1,2025-08-28,team1Home,-1,North Carolina State,-1,East Carolina
2025,1,weekb1,2025-08-28,team1Home,-1,Oklahoma State,-1,Tennessee - Martin
2025,1,weekb1,2025-08-28,team1Home,-1,San Diego State,-1,Stony Brook
2025,1,weekb1,2025-08-28,team1Home,-1,Alabama - Birmingham,-1,Alabama State
2025,1,weekb1,2025-08-28,team1Home,-1,Central Florida,-1,Jacksonville State
2025,1,weekb1,2025-08-28,team1Home,-1,Akron,-1,Wyoming
2025,1,weekb1,2025-08-28,team1Home,-1,Duke,-1,Elon
2025,1,weekb1,2025-08-28,team1Home,-1,Missouri,-1,Central Arkansas
2025,1,weekb1,2025-08-28,team1Home,-1,Rutgers,-1,Ohio
2025,1,weekb1,2025-08-28,team1Home,-1,South Florida,-1,Boise State
2025,1,weekb1,2025-08-28,team1Home,-1,Wisconsin,-1,Miami - Ohio
2025,1,weekb1,2025-08-28,team1Home,-1,Delaware,-1,Delaware State
2025,1,weekb1,2025-08-28,team1Home,-1,Bowling Green,-1,Lafayette
2025,1,weekb1,2025-08-28,team1Home,-1,Northwestern State,-1,Alcorn State
2025,1,weekb1,2025-08-28,team1Home,-1,Eastern Illinois,-1,Dayton
2025,1,weekb1,2025-08-28,team1Home,-1,Norfolk State,-1,Towson
2025,1,weekb1,2025-08-28,team1Home,-1,Saint Thomas - Minnesota,-1,Lindenwood
2025,1,weekb1,2025-08-29,team1Home,-1,San Jose State,-1,Central Michigan
2025,1,weekb1,2025-08-29,team1Home,-1,Army,-1,Tarleton State
2025,1,weekb1,2025-08-29,neutral,-1,North Carolina - Charlotte,-1,Appalachian State
2025,1,weekb1,2025-08-29,team1Home,-1,Kansas,-1,Wagner
2025,1,weekb1,2025-08-29,team1Home,-1,Wake Forest,-1,Kennesaw State
2025,1,weekb1,2025-08-29,team1Home,-1,Baylor,-1,Auburn
2025,1,weekb1,2025-08-29,team1Home,-1,Colorado,-1,Georgia Tech
2025,1,weekb1,2025-08-29,team1Home,-1,Illinois,-1,Western Illinois
2025,1,weekb1,2025-08-29,team1Home,-1,Michigan State,-1,Western Michigan
2025,1,weekb1,2025-08-29,team1Home,-1,Sam Houston State,-1,Nevada - Las Vegas
2025,1,weekb1,2025-08-29,team1Home,-1,Rhode Island,-1,Campbell
2025,1,weekb1,2025-08-29,team1Home,-1,Colgate,-1,Monmouth
2025,1,weekb1,2025-08-29,team1Home,-1,Florida International,-1,Bethune - Cookman
2025,1,weekb1,2025-08-30,team1Home,-1,Air Force,-1,Bucknell
2025,1,weekb1,2025-08-30,team1Home,-1,Arizona,-1,Hawaii
